t,x,y,track_y,heading,error,correction,distance_cm,speed_cap,left_speed,right_speed,terrain_mult
0.66,7.11621051337174,19.075843619597258,19.65916979474906,1.0776525196763187,-0.17059282052532013,-19.787393539148194,242.68591774885056,30.0,49.7873935391482,10.212606460851806,1.0
0.68,7.411256897190194,19.59828752222763,20.412210319360796,1.0567048404770834,-0.11877595902727821,-8.379071679694146,242.6558815229863,30.0,38.37907167969415,21.620928320305854,1.0
0.7000000000000001,7.6678166476335825,20.145283208936767,21.06106955280894,1.1322266902568383,0.12811298395512088,30.417479823804012,242.2836496928688,30.0,0.0,60.417479823804015,1.0
0.72,7.903514418559024,20.784123090227318,21.652139997693673,1.2173433228436294,0.22101408700604022,38.09330606943297,242.01367849816754,30.0,0.0,68.09330606943297,1.0
0.74,8.078957085736842,21.357899937558695,22.088904231937576,1.2740561172287266,0.17018510514679674,22.68511775403883,241.78890654268426,30.0,7.314882245961169,52.68511775403883,1.0
0.76,8.28290009055114,21.922175801642314,22.593111574994033,1.2239804370013596,-0.08178750451366416,-20.03027209094678,241.50893748959854,30.0,50.03027209094678,9.96972790905322,1.0
0.78,8.50903975293203,22.477928312296346,23.147695141932314,1.1843497404347587,-0.08265334636544877,-15.852278626640373,241.2679587540459,30.0,45.85227862664037,14.147721373359627,1.0
0.8,8.745771507007902,23.029252243041384,23.72307399007478,1.1652150752596901,-0.05031370868525163,-7.653866070027457,241.27426011181868,30.0,37.653866070027455,22.346133929972545,1.0
0.8200000000000001,8.999655103357203,23.572891019716433,24.33411923025601,1.1338890044996444,-0.09194859154195742,-12.530428304018349,241.23415668871135,30.0,42.53042830401835,17.46957169598165,1.0
0.84,9.269008542353982,24.1090334680458,24.97542877897058,1.1052373036126468,-0.10031707573038573,-11.460680354799022,241.03260608504854,30.0,41.460680354799024,18.539319645200976,1.0
0.86,9.561858321699843,24.632711810864254,25.664350284559724,1.0609043520616828,-0.1545299305009093,-17.733180620385653,240.84029605769095,30.0,47.73318062038565,12.266819379614347,1.0
0.88,9.882643664753262,25.139758912899264,26.408788822661876,1.006711983533462,-0.20073993235064463,-21.676947411288374,240.5838291101468,30.0,51.676947411288374,8.323052588711626,1.0
0.9,10.21624978466765,25.63846419335624,27.171389908001586,0.9812184670297962,-0.14986225756259608,-10.197406601466273,240.37263391656305,30.0,40.19740660146627,19.802593398533727,1.0
0.92,10.563225198643268,26.127961958516046,27.951708163805627,0.9541623300442851,-0.1622681544816994,-10.822454794204452,240.04185072363265,30.0,40.822454794204454,19.177545205795546,1.0
0.9400000000000001,10.908361894346754,26.618757905197434,28.71459216142476,0.9579136876090925,-0.0902429116951174,1.5005430259229642,239.75102498905432,30.0,28.499456974077034,31.500543025922966,1.0
0.96,11.250237524524618,27.11183097634459,29.45689933992496,0.9645427277037627,-0.07519508142614283,2.6516160378680818,239.4381607971879,30.0,27.34838396213192,32.65161603786808,1.0
0.98,11.59654308058942,27.71810265565775,30.19497616171087,1.0518185912860836,0.17667806222590116,39.820690865856605,239.2863309616343,30.0,0.0,69.8206908658566,1.0
1.0,11.882831005175488,28.245396903906485,30.794419055718198,1.073391394162638,0.027843896015681806,8.629121150621796,239.0518524697136,30.0,21.370878849378204,38.6291211506218,1.0
1.02,12.172549537106004,28.77081404509625,31.391005088838103,1.0668737574492422,-0.03311308646076031,-2.6070546853583707,238.7381565766828,30.0,32.60705468535837,27.39294531464163,1.0
1.04,12.469096694229792,29.29240754927532,31.991039387468845,1.0538299008209886,-0.052596344548016115,-5.217542651301473,238.56506865780878,30.0,35.21754265130147,24.78245734869853,1.0
1.06,12.79544221105767,29.795893997599748,32.6387793022504,0.995707662769979,-0.1762120918195761,-23.24889522040384,238.10903871632365,30.0,53.24889522040384,6.751104779596162,1.0
1.08,13.135529486916905,30.290202246366288,33.29955864562459,0.968165142523676,-0.12433820537489514,-11.017008098521194,237.70454911191717,30.0,41.017008098521195,18.982991901478805,1.0
1.1,13.457652238267842,30.79640075788336,33.911852649703896,1.004072134906529,0.030733545744570046,14.36279695314118,237.37957608768744,30.0,15.63720304685882,44.36279695314118,1.0
1.12,13.788840957818769,31.296714691371346,34.527429141860296,0.9860580048715674,-0.08863052946737364,-7.205652013984603,237.14594364260873,30.0,37.205652013984604,22.794347986015396,1.0
1.1400000000000001,14.096320609422204,31.811939170457723,35.08613313531883,1.0327421312828224,0.07395988795382094,18.67365056450206,236.95757207861163,30.0,11.326349435497939,48.67365056450206,1.0
